From,To,Town,Super (PMS),Diesel (AGO),Kerosene (IK)
2026-07-15,2026-08-14,Mombasa,210.87,219.58,188.09
2026-07-15,2026-08-14,Kilifi,211.68,220.45,188.96
2026-07-15,2026-08-14,Likoni Mainland,211.23,219.96,188.48
2026-07-15,2026-08-14,Kwale,211.23,219.96,188.48
2026-07-15,2026-08-14,Malindi,212.01,220.81,189.32
2026-07-15,2026-08-14,Lungalunga,212.04,220.83,189.35
2026-07-15,2026-08-14,Voi,212.91,221.77,190.29
2026-07-15,2026-08-14,Taveta,215.18,224.21,192.72
2026-07-15,2026-08-14,Lamu,215.84,224.93,193.44
2026-07-15,2026-08-14,Hola,216.30,225.41,193.93
2026-07-15,2026-08-14,Mpeketoni,215.84,224.93,193.44
2026-07-15,2026-08-14,Minjila,214.17,223.13,191.65
2026-07-15,2026-08-14,Garsen,214.33,223.29,191.81
2026-07-15,2026-08-14,Samburu,211.01,219.73,188.26
2026-07-15,2026-08-14,Taru,211.30,220.04,188.57
2026-07-15,2026-08-14,Mwatate,213.45,222.35,190.87
2026-07-15,2026-08-14,Wundanyi,213.72,222.64,191.16
2026-07-15,2026-08-14,Kaloleni,210.78,219.49,188.00
2026-07-15,2026-08-14,Marereni,213.07,221.95,190.46
2026-07-15,2026-08-14,Nairobi,214.03,222.86,191.38
2026-07-15,2026-08-14,Thika,213.70,222.50,191.02
2026-07-15,2026-08-14,Machakos,214.07,222.91,191.41
2026-07-15,2026-08-14,Kajiado,214.36,223.22,191.73
2026-07-15,2026-08-14,Makuyu,214.15,222.99,191.50
2026-07-15,2026-08-14,Muranga,214.53,223.39,191.91
2026-07-15,2026-08-14,Sagana,214.88,223.78,192.28
2026-07-15,2026-08-14,Embu,215.46,224.40,192.91
2026-07-15,2026-08-14,Kerugoya,215.34,224.27,192.78
2026-07-15,2026-08-14,Narok,215.92,224.89,193.41
2026-07-15,2026-08-14,Nyeri,215.90,224.87,193.38
2026-07-15,2026-08-14,Namanga,216.17,225.16,193.67
2026-07-15,2026-08-14,Kiganjo,215.84,224.80,193.31
2026-07-15,2026-08-14,Chuka,216.31,225.32,193.83
2026-07-15,2026-08-14,Kitui,216.15,225.14,193.65
2026-07-15,2026-08-14,Mwingi,216.78,225.81,194.32
2026-07-15,2026-08-14,Nanyuki,216.80,225.83,194.35
2026-07-15,2026-08-14,Nkubu,218.35,227.51,196.02
2026-07-15,2026-08-14,Mtito Andei,217.61,226.70,195.22
2026-07-15,2026-08-14,Meru,218.67,227.85,196.35
2026-07-15,2026-08-14,Isiolo,218.44,227.59,196.11
2026-07-15,2026-08-14,Maua,219.40,228.63,197.14
2026-07-15,2026-08-14,Garissa,220.40,229.70,198.21
2026-07-15,2026-08-14,Marsabit,226.34,236.07,204.59
2026-07-15,2026-08-14,Liboi,224.86,234.48,203.00
2026-07-15,2026-08-14,Moyale,228.87,238.80,207.32
2026-07-15,2026-08-14,Sololo,227.35,237.18,205.68
2026-07-15,2026-08-14,Habaswein,224.73,234.36,202.86
2026-07-15,2026-08-14,Dadaab,222.63,232.09,200.61
2026-07-15,2026-08-14,Tarbaj,228.36,238.24,206.76
2026-07-15,2026-08-14,Elwak,230.94,241.02,209.53
2026-07-15,2026-08-14,Wajir,228.60,238.51,207.03
2026-07-15,2026-08-14,Modogashe,224.96,234.60,203.12
2026-07-15,2026-08-14,Mandera,234.68,245.04,213.56
2026-07-15,2026-08-14,Matuu,215.14,224.04,192.56
2026-07-15,2026-08-14,Merti,222.30,231.74,200.25
2026-07-15,2026-08-14,Oldonyiro,217.48,226.57,195.08
2026-07-15,2026-08-14,Eldas,231.45,241.57,210.09
2026-07-15,2026-08-14,Bute,226.69,236.46,204.97
2026-07-15,2026-08-14,Hadado,224.41,234.02,202.53
2026-07-15,2026-08-14,Mai Mahiu,213.88,222.70,191.21
2026-07-15,2026-08-14,Doldo,218.03,227.15,195.67
2026-07-15,2026-08-14,Lamuria,216.61,225.63,194.14
2026-07-15,2026-08-14,Sipili,218.01,227.13,195.64
2026-07-15,2026-08-14,Marimanti,217.40,226.48,195.00
2026-07-15,2026-08-14,Mutuobare,216.34,225.34,193.85
2026-07-15,2026-08-14,North Horr,227.88,237.73,206.24
2026-07-15,2026-08-14,Maikona,225.64,235.34,203.85
2026-07-15,2026-08-14,Kalacha,226.52,236.28,204.79
2026-07-15,2026-08-14,Loyangalani,226.63,236.39,204.90
